Title,Authors,Year of Publication,DOI
Cyber-Physical Systems and Digital Twins in the Industrial Internet of Things [Cyber-Physical Systems],"Koulamas, Kalogeras",2018,https://doi.org/10.1109/MC.2018.2876181
Digital Twin-based Anomaly Detection in Cyber-physical Systems,"Xu, Ali, Yue",2021,https://doi.org/10.1109/ICST49551.2021.00031
A Taxonomy of Security and Defense Mechanisms in Digital Twins-based Cyber-Physical Systems,"Hussaini, Qian, Liao, Yu",2022,https://doi.org/10.1109/iThings-GreenCom-CPSCom-SmartData-Cybermatics55523.2022.00112
Building Digital Twins of Cyber Physical Systems With Metaverse for Industry 5.0 and Beyond,"Jagatheesaperumal, Rahouti",2022,https://doi.org/10.1109/MITP.2022.3225064
A Literature Review on Blockchain-enabled Security and Operation of Cyber-Physical Systems,"Khalil, Franco, Parvez, Uluagac, Shahriar, Rahman",2022,https://doi.org/10.1109/COMPSAC54236.2022.00282
Towards Cybersecurity of the Smart Grid Using Digital Twins,"Olivares-Rojas, Reyes-Archundia, Gutiérrez-Gnecchi, Molina-Moreno, Cerda-Jacobo, Méndez-Patiño",2022,https://doi.org/10.1109/MIC.2021.3063674
Designing Secure and Resilient Cyber-Physical Systems: A Model-Based Moving Target Defense Approach,"Casola, Benedictis, Mazzocca, Montanari",2024,https://doi.org/10.1109/TETC.2022.3197464
On the Effectiveness of Recurrent Neural Networks for Live Modeling of Cyber-Physical Systems,"Yoginath, Tansakul, Chinthavali, Taylor, Hambrick, Irminger, Perumalla",2019,https://doi.org/10.1109/ICII.2019.00062
"Security-Enhancing Digital Twins: Characteristics, Indicators, and Future Perspectives","Eckhart, Ekelhart, Allison, Almgren, Ceesay-Seitz, Janicke, Nadjm-Tehrani, Rashid, Yampolskiy",2023,https://doi.org/10.1109/MSEC.2023.3271225
A Game-Theoretic Approach to Secure Estimation and Control for Cyber-Physical Systems with a Digital Twin,"Xu, Easwaran",2020,https://doi.org/10.1109/ICCPS48487.2020.00010
Special Issue on Digital Twins - Part 1,"Saracco, Henz",2022,https://doi.org/10.1109/MIC.2021.3088318
A Digital Twin Runtime Verification Framework for Protecting Satellites Systems from Cyber Attacks,"Hóu, Li, Foo, Dong, Souza",2022,https://doi.org/10.1109/ICECCS54210.2022.00022
Introduction to Digital Twin Engineering,"Feng, Gomes, Thule, Lausdahl, Iosifidis, Larsen",2021,https://doi.org/10.23919/ANNSIM52504.2021.9552135
A Service-Oriented Digital Twins Framework for Smart Grid Management,Atalay,2022,https://doi.org/10.1109/SRMC57347.2022.00006
A Digital Twin Prototype for Product Lifecycle Data Management,"Schranz, Strohmeier, Damjanovic-Behrendt",2020,https://doi.org/10.1109/AICCSA50499.2020.9316506
Digital Twins and the Future of Their Use Enabling Shift Left and Shift Right Cybersecurity Operations,"Mohsin, Janicke, Nepal, Holmes",2023,https://doi.org/10.1109/TPS-ISA58951.2023.00042
A Digital Twin for the 5G Era: the SPIDER Cyber Range,"Rebecchi, Pastor, Mozo, Lombardo, Bruschi, Aliferis, Doriguzzi-Corin, Gouvas, Romero, Angelogianni, Politis, Xenakis",2022,https://doi.org/10.1109/WoWMoM54355.2022.00088
Using Cyber Digital Twins for Automated Automotive Cybersecurity Testing,"Marksteiner, Bronfman, Wolf, Lazebnik",2021,https://doi.org/10.1109/EuroSPW54576.2021.00020
Graph Learning for Cognitive Digital Twins in Manufacturing Systems,"Mortlock, Muthirayan, Yu, Khargonekar, Faruque",2022,https://doi.org/10.1109/TETC.2021.3132251
Artificial Intelligence Enabled Middleware for Distributed Cyberattacks Detection in IoT-based Smart Environments,"Bhandari, Lyth, Shalaginov, Grønli",2022,https://doi.org/10.1109/BigData55660.2022.10020531
Privacy and Security Issues for Human Digital Twins,"Sirigu, Carminati, Ferrari",2022,https://doi.org/10.1109/TPS-ISA56441.2022.00011
Digital Twins for Industrial Control Systems Security,"Francia, Hall",2021,https://doi.org/10.1109/CSCI54926.2021.00029
Developing the Factory of the Future Cybersecurity and Resilience,"Kotelba, Salonen",2022,https://doi.org/10.1109/CNCIT56797.2022.00018
Digital Twin-based Intrusion Detection for Industrial Control Systems,"Varghese, Ghadim, Balador, Alimadadi, Papadimitratos",2022,https://doi.org/10.1109/PerComWorkshops53856.2022.9767492
RIPOSTE: A Collaborative Cyber Attack Response Framework for Automotive Systems,"Jolak, Rosenstatter, Aldaghistani, Scandariato",2022,https://doi.org/10.1109/SEAA56994.2022.00062
Edge Centric Secure Data Sharing with Digital Twins in Smart Ecosystems,"Cathey, Benson, Gupta, Sandhu",2021,https://doi.org/10.1109/TPSISA52974.2021.00008
LiDiTE: A Full-Fledged and Featherweight Digital Twin Framework,"Russo, Costa, Longo, Armando, Merlo",2023,https://doi.org/10.1109/TDSC.2023.3236798
Cyber-Physical Cloud Manufacturing Systems With Digital Twins,"Nguyen, Zeadally, Vuduthala",2022,https://doi.org/10.1109/MIC.2021.3058921
Harnessing Digital Twin Security Simulations for systematic Cyber Threat Intelligence,"Dietz, Schlette, Pernul",2022,https://doi.org/10.1109/COMPSAC54236.2022.00129
Process Prediction with Digital Twins,"Brockhoff, Heithoff, Koren, Michael, Pfeiffer, Rumpe, Uysal, Aalst, Wortmann",2021,https://doi.org/10.1109/MODELS-C53483.2021.00032
Trusting Digital Twins,Laplante,2022,https://doi.org/10.1109/MC.2022.3149448
Digital Twin in the Military Field,"Mendi, Erol, Doğan",2022,https://doi.org/10.1109/MIC.2021.3055153
Digital Twin in Safety-Critical Robotics Applications: Opportunities and Challenges,"Baidya, Das, Uddin, Kosek, Summers",2022,https://doi.org/10.1109/IPCCC55026.2022.9894313
Co-simulated Digital Twin on the Network Edge: the case of platooning,"Palmieri, Quadri, Fagiolini, Rossi, Bernardeschi",2022,https://doi.org/10.1109/WoWMoM54355.2022.00096
Empowering Citizens With Digital Twins: A Blueprint,"Kopponen, Hahto, Kettunen, Mikkonen, Makitalo, Nurmi, Rossi",2022,https://doi.org/10.1109/MIC.2022.3159683
IoTwins: Design and Implementation of a Platform for the Management of Digital Twins in Industrial Scenarios,"Borghesi, Modica, Bellavista, Gowtham, Willner, Nehls, Kintzler, Cejka, Tisbeni, Costantini, Galletti, Antonacci, Ahouangonou",2021,https://doi.org/10.1109/CCGrid51090.2021.00075
Keynote Speaker: The Metaverse: AI-Powered Universe of Persistent Digital Twins,Saddik,2023,https://doi.org/10.1109/MIPR59079.2023.00013
Holistic Technologies for Managing Internet of Things Services,"Ranjan, Hsu, Chen, Georgakopoulos",2020,https://doi.org/10.1109/TSC.2020.3000844
IoT Platform Based on Digital Twin Modeling and Multi-Source Information Fusion,Gu,2022,https://doi.org/10.1109/ICCSIE56462.2022.00021
MTComm Based Virtualization and Integration of Physical Machine Operations with Digital-Twins in Cyber-Physical Manufacturing Cloud,"Shahriar, Sunny, Liu, Leu, Hu, Nguyen",2018,https://doi.org/10.1109/CSCloud/EdgeCom.2018.00018
A Smart-Farming Ontology for Attribute Based Access Control,"Chukkapalli, Piplai, Mittal, Gupta, Joshi",2020,https://doi.org/10.1109/BigDataSecurity-HPSC-IDS49724.2020.00017
The Convergence of Digital Twin Technology and Personal Healthcare,Song,2023,https://doi.org/10.1109/SNPD-Winter57765.2023.10223866
Attributes Based Bayesian Unknown Hazards Assessment for Digital Twin Empowered Autonomous Driving,"Hou, Liu, Zhang",2021,https://doi.org/10.1109/HPCC-DSS-SmartCity-DependSys53884.2021.00137
OpenDT: A Reference Framework for Service Publication and Discovery using Remote Programmable Digital Twins,"Shahriar, Liu, Rahman, Sunny",2020,https://doi.org/10.1109/SCC49832.2020.00024
Skilled Agricultural Task Delivery by a Digital Twin,"Kaburlasos, Lytridis, Siavalas, Tsakalidou, Tsakmakis, Kalathas, Pachidis, Rantos, Kalaboukas",2023,https://doi.org/10.1109/CAI54212.2023.00159
